,id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
13999,13999,C,163.18,material_7,material_8,5,8,16,11,19,17.275,12.275,17.978,16.923,11.169,18.271,13.02,14.951,19.008,10.63,16.724,17.842,13.917,16.69,707.62,1
16449,16449,D,95.78,material_7,material_5,6,6,7,10,13,17.696,12.314,17.988,17.232,11.256,20.635,11.402,16.388,18.636,13.802,14.599,,13.028,18.661,796.187,0
2078,2078,A,178.26,material_7,material_8,9,5,8,3,10,17.785,10.545,17.512,18.175,10.656,17.485,11.384,14.75,17.154,13.0,15.629,,15.447,15.059,578.129,1
8868,8868,B,104.48,material_5,material_5,8,8,8,16,7,17.575,10.022,17.205,17.271,11.33,18.445,11.444,16.45,14.523,11.654,19.492,14.985,11.688,20.757,590.407,0
8468,8468,B,219.94,material_5,material_5,8,8,13,16,12,17.125,11.091,18.112,16.644,11.041,18.58,11.51,15.487,19.201,10.79,14.38,16.668,18.319,15.947,637.525,0
2183,2183,A,88.13,material_7,material_8,9,5,6,10,8,18.08,12.671,16.578,17.0,12.806,18.857,9.961,18.735,19.515,13.585,14.997,14.575,11.796,12.921,682.352,0
13349,13349,C,103.93,material_7,material_8,5,8,0,8,3,18.508,11.766,17.463,17.192,11.89,16.92,10.607,16.883,16.745,12.179,15.919,15.792,16.196,15.406,500.845,0
13148,13148,C,87.43,material_7,material_8,5,8,7,8,6,18.14,12.446,18.172,17.893,12.095,,11.87,16.639,18.987,12.139,14.925,15.517,13.841,15.176,819.138,1
2522,2522,A,105.6,material_7,material_8,9,5,5,5,4,17.93,12.473,18.551,17.544,12.489,20.562,,,23.036,12.527,15.218,15.956,12.991,16.939,935.403,0
20168,20168,D,153.46,material_7,material_5,6,6,6,3,10,17.701,12.928,14.669,17.629,13.206,19.328,10.219,16.668,19.452,14.595,17.75,17.648,11.265,16.356,642.19,1
7476,7476,B,158.84,material_5,material_5,8,8,10,7,10,17.612,11.576,17.352,18.525,11.733,19.016,12.218,16.973,15.474,11.171,,16.658,,15.8,721.616,0
21630,21630,E,141.54,material_7,material_6,6,9,5,9,9,17.677,12.165,15.359,17.798,11.581,20.954,11.747,15.081,17.496,14.619,14.419,16.325,15.349,14.951,777.3,0
15122,15122,C,134.23,material_7,material_8,5,8,3,10,11,17.588,10.976,18.041,17.292,11.784,19.937,11.65,16.79,20.465,14.258,13.755,16.464,18.145,19.885,841.031,1
21801,21801,E,102.76,material_7,material_6,6,9,6,7,7,16.344,12.447,16.8,17.586,12.36,20.355,9.884,15.493,21.497,14.38,14.419,14.337,17.214,18.513,793.502,0
13420,13420,C,192.1,material_7,material_8,5,8,6,7,2,16.634,12.881,16.502,17.112,9.604,20.03,11.378,16.258,17.861,10.471,15.487,17.2,14.688,15.752,667.592,1
15172,15172,C,146.66,material_7,material_8,5,8,0,10,1,18.27,12.176,16.619,19.019,12.493,18.977,11.363,14.313,19.913,13.471,15.728,15.129,16.461,18.262,710.821,0
1222,1222,A,140.64,material_7,material_8,9,5,9,1,5,16.76,11.539,17.256,17.716,11.947,19.131,12.53,15.259,19.665,10.596,13.909,,16.454,18.747,724.92,0
13613,13613,C,140.58,material_7,material_8,5,8,8,7,5,18.179,12.262,17.425,16.763,13.086,19.375,11.922,15.79,19.335,11.153,15.14,17.092,14.139,15.569,817.984,0
18940,18940,D,113.95,material_7,material_5,6,6,12,19,10,17.514,12.69,16.31,18.438,10.916,19.291,11.528,18.326,,13.951,15.754,14.55,15.355,15.471,705.14,0
15917,15917,C,150.67,material_7,material_8,5,8,5,11,9,17.073,,18.126,18.061,10.64,18.723,11.525,14.212,17.99,9.62,16.121,15.842,14.57,13.607,687.967,0
2154,2154,A,149.73,material_7,material_8,9,5,14,3,2,17.332,12.266,16.94,16.989,12.12,19.958,12.616,16.755,22.938,13.978,18.978,15.488,14.916,18.446,766.056,0
7259,7259,B,169.79,material_5,material_5,8,8,4,12,3,17.805,11.904,17.657,16.65,11.698,18.664,10.223,14.173,20.05,12.119,12.795,13.833,12.279,17.014,693.183,0
25868,25868,E,204.15,material_7,material_6,6,9,4,8,2,17.563,11.054,17.308,17.933,11.25,18.705,11.895,17.072,17.286,11.019,15.861,15.119,14.509,13.938,691.946,0
2298,2298,A,120.92,material_7,material_8,9,5,11,1,4,16.82,10.424,15.586,16.469,12.382,18.47,11.709,16.063,17.861,12.196,16.18,14.755,14.409,15.872,534.853,0
13008,13008,C,122.98,material_7,material_8,5,8,7,3,3,18.058,12.048,19.927,16.786,,19.542,12.518,15.458,19.91,11.574,15.565,14.154,14.617,17.256,887.656,0
8350,8350,B,155.8,material_5,material_5,8,8,5,8,5,17.896,11.376,17.739,18.998,11.658,19.193,10.632,16.647,19.874,12.819,15.295,16.766,16.262,18.529,681.952,1
25360,25360,E,103.55,material_7,material_6,6,9,3,14,4,17.262,13.156,17.858,15.619,11.613,20.85,9.617,16.779,18.459,12.868,15.961,16.967,15.231,14.822,784.877,0
16947,16947,D,76.62,material_7,material_5,6,6,11,5,6,17.064,8.738,18.287,17.535,12.206,18.81,12.536,16.794,,11.146,16.395,17.254,15.068,16.733,770.725,0
20084,20084,D,92.47,material_7,material_5,6,6,3,18,9,17.006,12.473,16.542,18.114,11.288,20.59,11.955,16.538,20.364,12.982,16.496,13.189,15.143,15.743,769.153,0
26247,26247,E,83.95,material_7,material_6,6,9,3,5,15,17.187,10.816,17.57,17.078,12.355,19.005,10.637,15.957,21.036,11.331,15.319,15.441,14.859,14.771,626.991,0
6728,6728,B,152.68,material_5,material_5,8,8,14,9,4,17.099,10.991,16.205,14.86,11.249,19.4,10.003,15.601,18.115,12.223,,16.267,14.424,17.744,,0
9559,9559,B,86.24,material_5,material_5,8,8,8,2,11,15.475,11.793,17.027,17.088,11.757,19.821,10.455,15.175,19.304,12.529,12.438,15.399,13.064,17.605,634.402,0
25190,25190,E,109.78,material_7,material_6,6,9,7,5,9,18.45,13.622,16.84,17.716,11.424,18.792,12.751,17.283,20.759,11.623,14.699,16.119,13.937,19.532,817.893,0
11127,11127,C,109.36,material_7,material_8,5,8,6,12,1,18.01,10.896,18.179,15.216,13.203,17.04,10.764,16.782,18.16,11.317,16.067,17.596,15.613,18.157,596.335,0
8936,8936,B,84.95,material_5,material_5,8,8,5,5,8,18.3,11.091,14.654,18.096,13.159,18.093,10.772,18.58,18.262,10.213,18.474,15.508,18.408,13.907,,0
205,205,A,109.37,material_7,material_8,9,5,6,3,5,17.741,12.134,16.748,18.032,10.603,20.127,11.386,17.227,19.5,13.446,13.663,17.043,11.871,14.305,,0
19406,19406,D,107.9,material_7,material_5,6,6,10,21,9,18.99,11.748,16.653,17.723,10.3,18.806,10.712,16.719,18.503,11.223,14.699,17.544,13.891,17.568,639.205,0
20290,20290,D,194.18,material_7,material_5,6,6,8,9,9,18.769,11.358,17.245,17.85,10.615,21.267,10.731,15.79,,11.265,17.228,13.827,14.852,17.55,839.7,0
26232,26232,E,164.07,material_7,material_6,6,9,9,3,10,17.9,10.305,15.93,18.123,12.402,19.053,12.06,15.895,17.63,13.463,,16.926,14.218,13.838,599.942,0
10424,10424,C,133.9,material_7,material_8,5,8,0,7,9,16.295,13.182,15.265,17.496,12.109,16.015,,15.941,18.159,10.926,15.929,17.613,15.377,17.727,,1
3538,3538,A,163.39,material_7,material_8,9,5,5,2,6,18.747,11.372,18.277,18.483,,18.494,10.628,15.911,19.638,9.142,15.498,13.626,13.75,,765.501,1
10920,10920,C,173.34,material_7,material_8,5,8,6,6,6,17.165,12.876,18.659,18.359,10.99,19.151,11.618,16.599,20.262,11.275,14.86,16.296,13.582,13.803,775.774,1
20482,20482,D,101.59,material_7,material_5,6,6,9,14,5,17.636,11.077,17.503,16.151,12.8,16.027,11.627,17.953,20.176,12.661,15.163,,15.124,15.827,473.698,0
15987,15987,C,97.19,material_7,material_8,5,8,6,13,2,17.13,12.113,16.821,18.609,13.273,20.346,11.899,15.554,18.324,10.393,15.025,,16.83,,895.482,1
5701,5701,B,95.28,material_5,material_5,8,8,3,12,17,19.106,10.809,16.073,17.189,11.55,20.012,9.276,,21.082,12.656,14.183,15.979,15.275,18.033,575.239,0
10772,10772,C,98.9,material_7,material_8,5,8,11,6,9,17.655,10.03,15.738,17.28,11.465,20.234,11.691,,17.568,10.164,14.005,17.083,13.394,,734.655,0
1005,1005,A,138.53,material_7,material_8,9,5,15,6,8,17.143,12.806,18.073,16.693,11.647,18.854,11.853,15.457,21.906,12.305,16.908,19.019,15.196,16.665,735.538,1
18345,18345,D,234.24,material_7,material_5,6,6,8,15,1,16.288,11.893,15.354,17.368,9.599,18.285,11.279,19.057,17.936,10.141,15.714,15.495,14.12,15.69,392.611,0
10133,10133,B,119.61,material_5,material_5,8,8,2,12,7,19.058,12.484,16.467,17.102,11.44,,12.433,,17.409,10.745,15.111,15.102,17.878,18.449,738.178,0
22070,22070,E,137.78,material_7,material_6,6,9,8,11,5,17.789,11.172,14.539,16.58,12.614,19.431,12.632,15.584,,13.227,12.902,16.569,14.556,14.968,478.408,0
22980,22980,E,,material_7,material_6,6,9,5,5,3,16.893,12.387,17.008,18.99,11.646,19.776,8.33,16.266,20.051,10.48,14.457,14.784,15.939,16.119,,0
2771,2771,A,94.55,material_7,material_8,9,5,11,13,7,17.347,10.991,19.066,17.01,12.269,19.998,12.239,15.597,18.171,12.733,15.738,13.252,12.044,15.344,881.132,1
109,109,A,119.22,material_7,material_8,9,5,8,6,6,17.708,13.332,17.061,16.797,10.292,20.507,11.095,13.658,19.085,,15.756,16.433,15.45,14.443,779.24,0
6800,6800,B,171.39,material_5,material_5,8,8,6,8,6,17.43,12.277,17.058,18.212,9.803,18.478,9.9,15.792,21.127,11.816,,15.625,13.088,18.426,507.904,0
19346,19346,D,129.26,material_7,material_5,6,6,11,7,9,18.736,11.893,16.733,16.891,10.006,20.098,12.865,13.671,18.759,10.342,16.267,,15.108,16.838,620.677,0
20373,20373,D,138.05,material_7,material_5,6,6,14,5,8,18.539,11.023,17.083,16.78,10.672,18.478,10.081,15.15,18.238,10.077,15.921,15.762,,16.175,566.067,0
17527,17527,D,137.55,material_7,material_5,6,6,5,6,6,15.705,12.446,17.836,17.701,11.689,18.933,11.85,14.847,18.768,11.048,14.449,15.113,13.793,17.218,,0
16948,16948,D,116.95,material_7,material_5,6,6,12,5,6,17.956,12.337,18.108,17.8,11.813,18.986,10.911,15.612,21.323,9.653,15.717,14.456,16.427,,,1
18080,18080,D,112.79,material_7,material_5,6,6,5,6,9,18.705,12.329,16.792,18.414,10.929,17.687,12.19,16.766,19.996,9.341,,15.428,14.764,15.835,671.845,0
14979,14979,C,130.47,material_7,material_8,5,8,7,10,2,17.306,10.956,16.754,17.82,11.21,19.478,,18.366,17.087,9.505,14.956,14.257,14.629,18.115,680.493,1
21798,21798,E,181.03,material_7,material_6,6,9,9,5,12,18.971,11.451,19.556,16.968,10.772,18.683,11.79,13.648,17.598,9.702,13.673,16.754,15.51,17.088,787.076,0
8109,8109,B,125.86,material_5,material_5,8,8,3,12,5,19.51,11.858,17.452,19.597,10.94,19.89,11.719,15.557,16.568,13.302,17.431,15.221,13.031,18.494,,0
2339,2339,A,147.68,material_7,material_8,9,5,13,7,1,18.351,11.253,16.989,16.8,10.683,19.492,10.702,17.072,21.61,12.24,15.856,18.447,15.493,17.573,676.07,0
11152,11152,C,95.39,material_7,material_8,5,8,10,9,6,18.275,13.223,17.998,17.846,11.303,20.196,11.266,16.21,19.526,11.567,13.892,16.531,15.352,17.023,,0
21899,21899,E,141.55,material_7,material_6,6,9,4,8,3,18.177,12.563,17.13,16.565,13.868,18.772,12.354,15.941,18.177,,17.231,15.441,15.697,13.845,677.239,0
4197,4197,A,48.15,material_7,material_8,9,5,16,3,2,18.804,12.316,17.506,18.849,12.227,19.475,12.013,16.08,,11.441,15.829,18.903,13.146,16.376,814.786,0
9811,9811,B,129.17,material_5,material_5,8,8,3,0,15,17.148,10.178,17.235,17.203,11.535,20.068,10.033,15.721,20.651,,17.071,15.891,13.887,18.728,569.661,1
8117,8117,B,110.56,material_5,material_5,8,8,9,6,8,18.328,12.818,17.654,18.61,12.201,20.553,9.931,15.87,19.095,11.927,14.521,16.554,17.892,14.691,779.26,0
13249,13249,C,161.25,material_7,material_8,5,8,0,17,4,17.748,,16.344,16.012,13.131,18.492,10.639,13.95,16.731,,16.511,19.982,15.749,14.677,630.345,1
4045,4045,A,115.24,material_7,material_8,9,5,2,12,10,17.298,12.746,17.965,16.85,11.999,18.503,13.746,18.384,,13.446,15.065,17.267,14.061,13.5,714.873,1
21755,21755,E,108.81,material_7,material_6,6,9,7,21,2,17.199,10.809,19.092,19.731,11.866,18.936,12.937,14.466,21.245,12.192,15.299,14.629,16.206,,972.43,1
12339,12339,C,95.62,material_7,material_8,5,8,11,8,4,19.318,12.597,18.056,16.035,11.36,19.37,12.624,17.506,19.379,10.3,15.518,14.81,14.151,15.616,799.663,0
8066,8066,B,128.68,material_5,material_5,8,8,6,4,8,18.129,9.839,16.791,18.398,11.839,18.767,14.049,18.128,20.676,12.988,15.246,15.215,15.041,,690.746,0
9441,9441,B,113.95,material_5,material_5,8,8,5,3,10,18.436,9.883,19.081,19.189,11.899,16.703,10.587,18.02,20.471,12.867,18.243,16.911,15.006,17.989,692.634,1
11467,11467,C,109.5,material_7,material_8,5,8,12,6,6,18.229,10.771,16.906,16.765,12.631,19.254,11.974,17.43,19.317,11.47,,14.999,15.547,16.352,762.247,0
24781,24781,E,133.73,material_7,material_6,6,9,6,9,3,17.806,,14.674,17.407,11.894,17.624,12.863,13.563,18.855,,16.391,17.599,13.208,15.687,536.694,1
20622,20622,D,104.04,material_7,material_5,6,6,13,6,6,17.695,11.612,17.011,18.09,10.247,19.69,,18.033,18.043,10.727,13.197,16.436,13.454,17.504,713.137,0
12022,12022,C,184.1,material_7,material_8,5,8,9,12,7,17.746,11.918,18.06,18.474,10.467,18.406,10.949,,19.568,9.641,15.579,13.588,14.618,17.016,630.186,0
1476,1476,A,76.79,material_7,material_8,9,5,9,1,2,16.817,11.704,16.076,17.199,11.176,19.628,11.573,17.441,18.668,13.303,15.973,16.549,12.791,14.701,662.66,0
26047,26047,E,91.58,material_7,material_6,6,9,8,5,4,19.065,10.234,16.891,17.546,13.472,19.268,11.48,15.792,17.47,14.03,,15.94,14.953,15.303,619.044,0
5748,5748,B,91.15,material_5,material_5,8,8,1,11,6,18.125,10.694,17.081,17.273,11.896,19.126,10.409,18.538,16.745,11.685,17.214,16.056,14.721,16.48,648.987,0
17096,17096,D,113.73,material_7,material_5,6,6,5,17,3,18.447,10.233,15.843,17.115,12.56,19.584,11.965,15.71,19.416,9.671,16.561,16.121,17.209,17.422,670.957,0
4731,4731,A,140.7,material_7,material_8,9,5,14,5,5,18.824,12.045,16.8,19.355,12.45,,11.643,14.87,20.073,14.741,15.717,17.816,14.131,19.45,621.148,0
20688,20688,D,82.18,material_7,material_5,6,6,4,20,10,17.802,12.006,18.877,17.887,13.237,18.844,9.545,15.125,18.818,11.956,15.928,13.567,,19.59,910.274,0
19976,19976,D,106.41,material_7,material_5,6,6,9,15,8,17.144,12.616,17.607,18.142,13.683,19.291,10.719,15.883,17.785,13.278,14.713,14.175,13.654,21.333,885.014,0
11466,11466,C,111.29,material_7,material_8,5,8,5,10,5,18.997,13.282,17.165,17.837,12.223,19.353,12.7,17.171,18.578,,13.816,17.101,17.871,18.758,802.695,0
50,50,A,158.69,material_7,material_8,9,5,12,2,10,17.699,13.003,17.998,17.933,11.362,19.24,11.195,16.862,20.949,14.83,17.48,15.492,16.232,19.039,790.748,0
9598,9598,B,120.56,material_5,material_5,8,8,5,8,11,18.801,10.656,16.961,19.484,,19.995,12.963,19.196,18.372,11.482,17.357,,12.678,,705.346,0
9948,9948,B,100.84,material_5,material_5,8,8,12,12,6,16.842,12.27,17.511,18.147,11.549,,10.954,15.533,17.763,12.612,,16.862,13.789,17.978,693.889,0
16594,16594,D,111.69,material_7,material_5,6,6,5,7,5,17.556,12.03,17.289,19.621,12.213,17.713,12.378,16.055,18.936,10.272,14.131,17.061,16.618,17.505,852.389,1
1686,1686,A,181.68,material_7,material_8,9,5,9,14,9,17.814,11.162,16.389,17.124,12.932,19.887,10.833,14.783,20.135,13.305,16.729,17.674,14.006,14.576,734.969,0
16175,16175,D,103.5,material_7,material_5,6,6,4,8,12,16.835,10.438,17.482,19.232,12.47,18.466,11.672,17.359,19.991,12.468,15.934,,14.291,17.416,865.851,0
4398,4398,A,181.02,material_7,material_8,9,5,14,3,3,19.026,10.84,20.136,18.44,11.521,20.761,9.806,14.729,16.889,11.545,17.119,15.989,15.561,16.711,1021.289,1
7413,7413,B,71.33,material_5,material_5,8,8,7,5,7,17.006,11.186,18.451,18.25,12.696,20.755,10.11,17.858,19.638,12.436,13.222,16.682,17.487,13.83,757.97,0
21017,21017,D,149.65,material_7,material_5,6,6,4,9,5,18.178,13.185,16.92,17.964,12.512,19.401,12.706,16.37,18.323,11.371,16.767,14.765,15.085,16.506,798.112,0
8182,8182,B,95.55,material_5,material_5,8,8,5,6,9,,11.188,16.212,19.033,12.053,19.141,12.65,17.108,19.442,11.562,16.65,16.382,16.46,,708.981,1
23533,23533,E,124.79,material_7,material_6,6,9,5,10,10,17.623,13.511,17.109,17.539,13.9,19.388,12.248,15.875,21.649,13.15,16.548,15.145,,,849.117,0
14411,14411,C,124.03,material_7,material_8,5,8,6,4,4,18.485,10.578,18.25,17.372,10.389,18.273,9.876,15.409,19.158,10.427,15.238,14.551,16.882,19.442,578.322,0
11853,11853,C,135.48,material_7,material_8,5,8,7,5,3,19.01,11.58,16.662,17.357,11.41,18.561,11.969,15.383,17.543,12.632,14.571,17.16,14.86,17.274,639.833,0
21067,21067,D,94.34,material_7,material_5,6,6,3,9,5,19.047,9.756,16.262,16.623,11.997,19.475,11.035,19.183,19.179,12.361,16.382,14.705,,15.98,632.578,0
5404,5404,B,119.22,material_5,material_5,8,8,6,13,7,17.263,12.071,19.031,17.85,11.785,20.172,11.817,16.866,18.762,12.579,17.554,17.971,14.865,19.228,789.235,1
11988,11988,C,117.44,material_7,material_8,5,8,10,6,2,17.07,11.648,17.893,16.489,9.181,19.84,12.975,16.927,18.668,10.804,15.59,17.672,14.238,17.219,758.503,0
9189,9189,B,179.46,material_5,material_5,8,8,5,14,8,18.969,10.992,17.508,19.113,12.48,19.03,11.741,17.512,19.953,,17.493,15.34,15.296,17.749,,1
3198,3198,A,,material_7,material_8,9,5,16,0,6,19.031,11.873,15.541,17.936,11.214,18.741,11.698,15.681,18.708,10.179,13.787,13.963,14.484,17.251,585.07,0
5254,5254,B,92.86,material_5,material_5,8,8,12,14,8,16.539,13.015,16.379,18.673,12.14,,11.488,16.376,17.241,11.617,16.941,,16.783,15.043,747.77,0
4224,4224,A,117.94,material_7,material_8,9,5,5,9,8,18.239,,15.599,17.212,12.148,17.512,13.232,15.372,19.223,12.461,16.309,17.811,12.05,15.424,520.032,1
19455,19455,D,131.39,material_7,material_5,6,6,5,12,6,18.309,10.718,17.544,17.312,11.237,19.169,10.991,19.298,19.333,12.093,16.034,18.219,15.764,12.732,,0
8715,8715,B,129.23,material_5,material_5,8,8,10,11,5,16.645,,17.476,17.423,10.415,19.351,12.938,15.135,17.624,11.351,17.891,14.84,13.17,17.801,655.278,0
21222,21222,D,111.03,material_7,material_5,6,6,7,13,8,17.288,12.957,16.953,18.601,10.81,18.216,13.988,,21.5,10.596,14.833,18.031,17.688,15.257,689.243,0
22924,22924,E,87.9,material_7,material_6,6,9,12,9,8,18.506,12.213,18.523,18.935,,18.741,11.348,15.489,21.027,13.996,12.867,12.553,14.084,17.836,910.223,0
20834,20834,D,82.59,material_7,material_5,6,6,6,8,8,17.731,11.37,17.248,18.223,10.966,18.966,12.524,13.407,19.502,12.304,16.348,,17.461,,733.59,0
4828,4828,A,63.65,material_7,material_8,9,5,6,2,13,17.665,16.484,17.965,16.765,11.138,18.937,11.579,14.753,20.863,11.18,15.471,15.575,16.73,17.629,779.289,0
12864,12864,C,184.39,material_7,material_8,5,8,11,9,4,16.974,11.314,17.378,16.283,11.414,19.761,11.108,16.39,19.121,10.004,,18.818,14.617,,748.453,1
5027,5027,A,124.44,material_7,material_8,9,5,12,1,5,18.386,10.507,18.417,16.99,11.229,19.997,11.032,16.79,18.04,11.615,16.084,15.037,14.319,15.073,808.108,0
18266,18266,D,142.77,material_7,material_5,6,6,9,15,7,17.536,12.278,17.304,18.812,12.49,19.253,11.508,13.679,19.522,9.259,15.399,15.871,14.067,14.932,876.479,0
11214,11214,C,141.36,material_7,material_8,5,8,8,5,8,18.56,12.553,16.537,18.046,11.869,17.186,11.794,16.73,20.334,13.401,14.176,15.156,14.747,15.01,524.92,0
14724,14724,C,116.94,material_7,material_8,5,8,6,9,1,19.12,10.977,18.256,17.501,11.745,18.062,10.738,16.919,19.195,9.953,17.254,14.052,14.257,16.884,648.283,0
8583,8583,B,149.47,material_5,material_5,8,8,10,6,4,18.755,11.261,17.696,18.808,12.198,19.747,10.768,16.592,19.407,11.296,15.795,18.06,16.346,17.254,742.26,0
10645,10645,C,147.43,material_7,material_8,5,8,11,6,6,18.096,11.307,17.467,16.705,11.093,,12.446,,18.68,10.178,17.83,16.557,16.796,17.63,641.926,0
26121,26121,E,132.48,material_7,material_6,6,9,8,8,5,16.196,12.082,18.107,16.926,12.684,16.348,11.273,16.692,18.173,8.976,,16.195,14.321,14.033,542.75,1
9194,9194,B,122.1,material_5,material_5,8,8,7,12,7,20.259,10.791,17.411,17.06,,17.98,12.486,17.665,18.859,12.281,15.708,17.195,15.912,15.976,680.18,0
19525,19525,D,145.52,material_7,material_5,6,6,10,12,4,17.479,12.502,18.058,16.643,10.684,18.153,10.912,17.257,18.976,9.663,15.066,,15.651,16.686,571.641,0
18831,18831,D,215.1,material_7,material_5,6,6,5,6,4,16.517,12.003,17.054,16.437,11.903,20.054,10.779,,19.669,11.569,15.953,17.169,14.539,16.793,631.767,0
22509,22509,E,154.33,material_7,material_6,6,9,7,5,7,17.178,12.076,16.046,17.856,12.4,20.056,13.408,14.966,18.777,10.966,14.739,16.289,15.206,16.556,790.672,0
25062,25062,E,202.15,material_7,material_6,6,9,5,13,13,19.09,13.507,15.649,18.169,,17.635,11.301,15.625,20.551,11.021,,,15.348,16.138,652.88,1
21198,21198,D,97.6,material_7,material_5,6,6,9,8,9,17.173,11.305,17.735,19.711,13.535,19.023,12.864,20.082,18.335,13.41,,15.182,15.046,,1018.288,0
