STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
Mid Town Foods,39968.0,15264.0,3520.0,B,3855 W Division St,60651,Humboldt Park,23,27,17031231200,170312312004002.0,1150230.934098818,1907681.3047955951,41.9025838739,-87.7236192485,"(41.9025838739, -87.7236192485)"
"7400 S Halsted Food And Liquors, Inc.",980.0,186.0,10001.0,A,7400 S Halsted St,60621,Englewood,68,17,17031681300,170316813003005.0,1172208.8098604858,1855768.9165432695,41.7596745819,-87.6444202389,"(41.7596745819, -87.6444202389)"
Three Brother,6321.0,62766.0,10001.0,A,900 N Francisco Ave,60622,West Town,24,26,17031242700,170312427001004.0,1156842.0502440669,1906097.6996694184,41.8981068159,-87.6993783779,"(41.8981068159, -87.6993783779)"
Cuenca'S Bakery & Groceries,1619464.0,292181.0,4500.0,B,4229 W Montrose Ave,60641,Irving Park,16,38,17031160300,170311603003002.0,1147271.2214136072,1928863.7077261591,41.9607675196,-87.7339469271,"(41.9607675196, -87.7339469271)"
Jewel Food Stores #3262,1409.0,259.0,35000.0,A,4660 W Irving Park Rd,60641,Portage Park,15,45,17031831700,170318317001021.0,1144267.9933805217,1926214.300471872,41.9535544384,-87.7450553112,"(41.9535544384, -87.7450553112)"
Roman Bros 1 Inc,11900.0,5925.0,10001.0,A,6978 N Clark St,60626,Rogers Park,1,49,17031010702,170310107022004.0,1163418.9267608444,1946507.1666877328,42.0088564722,-87.674080374,"(42.0088564722, -87.674080374)"
Tai Nam Corporation,34508.0,88874.0,10001.0,A,4925 N Broadway,60640,Uptown,3,48,17031031200,170310312002004.0,1167456.9338636997,1933184.8910509632,41.972213557,-87.6596091001,"(41.972213557, -87.6596091001)"
La Jaliscience,4749.0,23661.0,3000.0,B,3239 W 26Th St,60623,South Lawndale,30,22,17031840800,170318408001002.0,1155046.9425476384,1886508.4249456285,41.8443879922,-87.7064970959,"(41.8443879922, -87.7064970959)"
Hollywood Tower Mkt,1858.0,62539.0,3000.0,B,5701 N Sheridan Rd,60660,Edgewater,77,48,17031030604,170310306042001.0,1168645.9152298884,1938086.668967148,41.985638421,-87.6550943233,"(41.985638421, -87.6550943233)"
A & R Food Mart,1954411.0,340750.0,3500.0,B,5952 W Grand Ave,60639,Belmont Cragin,19,37,17031191302,170311913021018.0,1136148.464557395,1914149.526732603,41.9205964582,-87.7751926809,"(41.9205964582, -87.7751926809)"
S. S. Food & Liquor,1476109.0,272992.0,2703.0,B,2427 N Clark St,60614,Lincoln Park,7,43,17031070101,170310701012002.0,1172706.707831624,1916520.7436412969,41.9263716974,-87.6408000783,"(41.9263716974, -87.6408000783)"
S L Pantry & Grill,2013420.0,17935.0,2600.0,B,4759 N Sheridan Rd,60640,Uptown,3,46,17031031501,170310315012001.0,1168808.076144931,1932041.4567324752,41.9690466747,-87.654674059,"(41.9690466747, -87.654674059)"
Andys Fruit Ranch,1275209.0,3868.0,15000.0,A,4733 N Kedzie Ave,60625,Albany Park,14,33,17031140800,170311408005008.0,1154227.4639737108,1931413.9453359076,41.9676291597,-87.7083036873,"(41.9676291597, -87.7083036873)"
Dominick'S #1875,1273445.0,5033.0,39000.0,A,1 N Halsted St,60661,Near West Side,28,27,17031280100,170312801001038.0,1171090.9679868314,1900270.4540166913,41.8818156316,-87.647214717,"(41.8818156316, -87.647214717)"
Save-A-Lot # 866,1299911.0,216203.0,,A,3939 W Ogden Ave,60623,North Lawndale,29,22,17031843400,170318000000000.0,1150300.621,1888988.907,41.85128849,-87.72385084,"(41.85128849, -87.72385084)"
W K R B Food & Liquor,25165.0,10242.0,4340.0,B,9361 S Cottage Grove Ave,60619,Chatham,44,8,17031440800,170314408002017.0,1183247.9273338134,1842808.58250396,41.7238602893,-87.6043647208,"(41.7238602893, -87.6043647208)"
Osama Food Mart,2031620.0,352625.0,2800.0,B,615 E 67Th St,60637,Woodlawn,42,20,17031421200,170314212001005.0,1181566.4243909956,1860686.2640671933,41.7729575221,-87.6099733981,"(41.7729575221, -87.6099733981)"
El  Paseo  Boricua,1301216.0,254645.0,3000.0,B,2706 W Division St,60622,West Town,24,26,17031242600,170312426001013.0,1158083.1371978272,1907909.8300203527,41.9030542001,-87.6947704208,"(41.9030542001, -87.6947704208)"
Food Basket,1682475.0,291625.0,2500.0,B,7205 S Halsted St,60621,Englewood,68,17,17031681300,170316813001006.0,1172254.5642532066,1857047.1455825805,41.763181195,-87.644215021,"(41.763181195, -87.644215021)"
Shop & Save Market,1991275.0,338404.0,63426.0,A,5829 S Archer Ave,60638,Garfield Ridge,56,23,17031560700,170315607002039.0,1140672.648412313,1868781.9760705472,41.7960196245,-87.7596833672,"(41.7960196245, -87.7596833672)"
Genes Sausage Shop At Deli Meyer,1922145.0,335302.0,6000.0,B,4746 N Lincoln Ave,60625,Lincoln Square,4,47,17031040600,170310406003004.0,1159702.0574422998,1931499.8965466437,41.9677536575,-87.6881717161,"(41.9677536575, -87.6881717161)"
Aldi Inc. #96,1868821.0,5273.0,16117.0,A,821 W 115Th St,60643,West Pullman,53,34,17031530300,170315303001000.0,1172808.5237505026,1828547.0195798825,41.6849606404,-87.6430223096,"(41.6849606404, -87.6430223096)"
Super Furniture & Food Mart,2060727.0,357170.0,4000.0,B,5257 S Ashland Ave,60609,New City,61,16,17031611900,170316119001005.0,1166612.1687413086,1869626.4543659552,41.7978225881,-87.6645368783,"(41.7978225881, -87.6645368783)"
Aldi Foods Store #2,14004.0,5273.0,15600.0,A,4645 W Diversey Ave,60639,Hermosa,20,31,17031190900,170311909001000.0,1144687.3239847084,1918165.8803331624,41.9314609382,-87.743717307,"(41.9314609382, -87.743717307)"
Los Potrillos,1650212.0,299177.0,7000.0,B,3624 W Belmont Ave,60618,Avondale,21,35,17031831100,170318311004023.0,1151517.7233741966,1921074.0369519016,41.939309516,-87.7185399405,"(41.939309516, -87.7185399405)"
Mayflower Food,1168793.0,17975.0,6000.0,B,2104 S Archer Ave,60616,Armour Square,34,25,17031841100,170318411001021.0,1175264.5918291442,1890264.227542948,41.8542653039,-87.6321895068,"(41.8542653039, -87.6321895068)"
Municipal Foods,1478386.0,273724.0,9980.0,B,2559 W Division St,60622,West Town,24,26,17031242500,170312425001002.0,1158868.1815303229,1907844.6373137871,41.9028592342,-87.6918885843,"(41.9028592342, -87.6918885843)"
Supermercado Tepecoa Guerrero,1493584.0,277252.0,3500.0,B,3629 W 63Rd St,60629,West Lawn,65,13,17031650302,170316503021002.0,1153106.483285793,1862551.204288836,41.7786847162,-87.7142516633,"(41.7786847162, -87.7142516633)"
Aldi Inc Store #16,1226990.0,5273.0,20848.0,A,1246 E 87Th St,60619,Avalon Park,45,8,17031834300,170318343005004.0,1186130.2220096055,1847590.6523845491,41.736915346,-87.5936566218,"(41.736915346, -87.5936566218)"
Aldi Foods Store #26,13998.0,5273.0,15540.0,A,2600 N Clybourn Ave,60614,Lincoln Park,7,32,17031070700,170310707002008.0,1163612.486268729,1917295.7316659729,41.9286950012,-87.6741950831,"(41.9286950012, -87.6741950831)"
Kaps Foods,57817.0,18562.0,4100.0,B,3557 S California Ave,60632,Brighton Park,58,12,17031580100,170315801001006.0,1158326.4831652388,1880700.349331315,41.8283836447,-87.69462017,"(41.8283836447, -87.69462017)"
Sanabel Grocery & Bakery,2009055.0,349374.0,6200.0,B,4213 N Kedzie Ave,60618,Irving Park,16,33,17031160601,170311606011005.0,1154336.8155672683,1927899.6055758535,41.9579834025,-87.7079959151,"(41.9579834025, -87.7079959151)"
Alla'S Food,1068956.0,204849.0,3500.0,B,2024 E 93Rd St,60617,Calumet Heights,48,8,17031480400,170314804004023.0,1191449.6829125532,1843746.8043554707,41.7262403487,-87.5742922611,"(41.7262403487, -87.5742922611)"
Al Bayan Grocery Inc.,1542202.0,282078.0,2500.0,B,3134 N Narragansett Ave,60634,Belmont Cragin,19,36,17031831500,170318315001015.0,1133152.9704370175,1920313.7029264064,41.9375646502,-87.7860543686,"(41.9375646502, -87.7860543686)"
Gene'S Sausage Shop & Deli Inc,1876.0,371.0,5000.0,B,5330 W Belmont Ave,60641,Portage Park,15,38,17031151100,170311511002015.0,1140128.163542057,1920795.5982101425,41.9387619658,-87.7604070714,"(41.9387619658, -87.7604070714)"
Rigo'S Grocery,1144306.0,215370.0,2500.0,B,2858 S Lawndale Ave,60623,South Lawndale,30,22,17031301702,170313017023004.0,1152136.5843694103,1884500.8487286288,41.8389367453,-87.7172305546,"(41.8389367453, -87.7172305546)"
Walmart,,,,A,10900 S Doty Ave W,60628,Pullman,50,9,17031500200,170315000000000.0,1185444.674,1832788.876,41.69631368,-87.59663224,"(41.69631368, -87.59663224)"
Chicago Produce,1865.0,368.0,13500.0,A,3500 W Lawrence Ave,60625,Albany Park,14,39,17031140200,170311402003015.0,1152167.1785534604,1931711.0302956756,41.9684853733,-87.7158713295,"(41.9684853733, -87.7158713295)"
Dia Food & Liquor,41854.0,16133.0,4500.0,B,1478 W 115Th St,60643,Morgan Park,75,34,17031750600,170317506004046.0,1168245.9445753116,1828509.1381748824,41.6849557984,-87.659725829,"(41.6849557984, -87.659725829)"
"Park Foods Of 71St Street,Inc.",1677517.0,300221.0,3500.0,B,2612 W 71St St,60629,Chicago Lawn,66,18,17031660900,170316609003037.0,1160100.0534328348,1857512.6366215143,41.7647171389,-87.6887509815,"(41.7647171389, -87.6887509815)"
Pete'S Produce,1476553.0,273114.0,5000.0,B,1543 E 87Th St,60619,Calumet Heights,48,8,17031480200,170314802001001.0,1188145.96280003,1847564.3740451965,41.7367954576,-87.5862725091,"(41.7367954576, -87.5862725091)"
Hareer Food & Liquor,52337.0,17625.0,2500.0,B,5452 S Halsted St,60609,New City,61,20,17031612100,170316121001043.0,1171863.4145093353,1868478.62879514,41.7945591033,-87.6453134277,"(41.7945591033, -87.6453134277)"
Trader Joe'S East,1592120.0,211718.0,10615.0,A,44 E Ontario St,60611,Near North Side,8,42,17031081500,170310815002008.0,1176714.0993905573,1904540.636681799,41.8934080204,-87.6264377426,"(41.8934080204, -87.6264377426)"
Emilio'S Produce,1675623.0,298914.0,2500.0,B,2294 N Milwaukee Ave,60647,Logan Square,22,1,17031221400,170312214002002.0,1157396.7805960944,1915026.7030165389,41.9225974657,-87.6970976291,"(41.9225974657, -87.6970976291)"
"Grand Palace Supermarket, Inc",49648.0,17200.0,3000.0,B,7131 S State St,60619,Greater Grand Crossing,69,6,17031691000,170316910004006.0,1177563.5802857797,1857597.705730094,41.7645736329,-87.6247399651,"(41.7645736329, -87.6247399651)"
Aldi #70,1997726.0,5273.0,18263.0,A,7627 S Ashland Ave,60620,Auburn Gresham,71,17,17031710300,170317103001013.0,1167042.6177087335,1854021.322837469,41.7549909175,-87.6634041558,"(41.7549909175, -87.6634041558)"
Super Mercado La Chiquita,6054.0,3546.0,9500.0,B,3555 W 26Th St,60623,South Lawndale,30,22,17031301600,170313016001005.0,1152851.9808610491,1886452.834176341,41.8442791237,-87.7145537663,"(41.8442791237, -87.7145537663)"
Aldi'S # 26,1821323.0,5273.0,16550.0,A,10532 S Indianapolis Ave,60617,East Side,52,10,17031520100,170315201001079.0,1204788.0634884294,1835640.291921612,41.7036623609,-87.5257124268,"(41.7036623609, -87.5257124268)"
Carniceria Ricardo,35191.0,15006.0,5000.0,B,4419 W Diversey Ave,60639,Hermosa,20,31,17031200200,170312002004000.0,1146359.156186549,1918206.5211457592,41.9315407469,-87.7375725127,"(41.9315407469, -87.7375725127)"
Lindo Michoacan,42744.0,86194.0,8600.0,B,3142 W Lawrence Ave,60625,Albany Park,14,33,17031140100,170311401002004.0,1154365.2769392603,1931758.8257039753,41.9685727721,-87.7077877013,"(41.9685727721, -87.7077877013)"
"Super Food & Liquors, Inc.",40429.0,15748.0,4000.0,B,1049 W Bryn Mawr Ave,60660,Edgewater,77,48,17031030701,170310307011001.0,1168094.0029169165,1937326.2962504616,41.983563915,-87.657146291,"(41.983563915, -87.657146291)"
Nayab Mart,1444872.0,269649.0,3125.0,B,2449 W Devon Ave,60659,West Ridge,2,50,17031020802,170310208024001.0,1158623.8724358284,1942364.6103797632,41.9975891244,-87.6918369148,"(41.9975891244, -87.6918369148)"
Edgewater Produce,16765.0,6928.0,7400.0,B,5509 N Clark St,60640,Edgewater,77,48,17031030800,170310308001010.0,1165060.267758244,1936722.1790277204,41.981971377,-87.6683210323,"(41.981971377, -87.6683210323)"
Jewel Food Store #3224,1144401.0,259.0,29299.0,A,6430 W Irving Park Rd,60634,Dunning,17,38,17031170100,170311701001008.0,1132667.4509821113,1925939.2398312732,41.9530102332,-87.7877071626,"(41.9530102332, -87.7877071626)"
Los Sauces Grocery,1223250.0,230035.0,2800.0,B,5852 W Diversey Ave,60639,Belmont Cragin,19,30,17031190402,170311904022037.0,1136654.0460147965,1918049.070447328,41.9312882001,-87.7732414533,"(41.9312882001, -87.7732414533)"
The Warehouse,1843355.0,315225.0,6000.0,B,538 W 119Th St,60628,West Pullman,53,34,17031530200,170315302003018.0,1174692.3796975152,1826020.5579884509,41.6779860017,-87.6362008551,"(41.6779860017, -87.6362008551)"
Arista Foods,1473367.0,271891.0,10000.0,A,112 N May St,60607,Near West Side,28,27,17031833000,170318330002084.0,1168768.8265869268,1900830.15581926,41.8834021216,-87.6557252931,"(41.8834021216, -87.6557252931)"
Morse Food And Meat Market,1518304.0,280735.0,17000.0,A,1430 W Morse Ave,60626,Rogers Park,1,49,17031010600,170310106004012.0,1165298.3233714858,1946207.7407221363,42.0079949199,-87.6671741467,"(42.0079949199, -87.6671741467)"
"Calabria Imports, Inc.",1357606.0,264103.0,3100.0,B,1905 W 103Rd St,60643,Beverly,72,19,17031720700,170317207001004.0,1165555.2824921713,1836329.4332021056,41.7064733245,-87.6693549885,"(41.7064733245, -87.6693549885)"
Kol Tuv Kosher Foods Inc,12952.0,6158.0,3000.0,B,2938 W Devon Ave,60659,West Ridge,2,50,17031020601,170310206012018.0,1155422.8971575014,1942345.2798729455,41.9976012808,-87.7036126719,"(41.9976012808, -87.7036126719)"
Aldi Inc # 62,13984.0,5273.0,12646.0,A,6220 N California Ave,60659,West Ridge,2,50,17031020702,170310207022006.0,1156498.0657624612,1941267.105109447,41.9946209588,-87.6996868624,"(41.9946209588, -87.6996868624)"
Jewel Food  Store # 3345,1142451.0,259.0,60271.0,A,1224 S Wabash Ave,60605,Near South Side,33,2,17031330100,170313301001004.0,1176924.0045922934,1894818.1979320475,41.8667243541,-87.6259611484,"(41.8667243541, -87.6259611484)"
Washington Grocery,6249.0,23967.0,4200.0,B,4139 W Fifth Ave,60624,West Garfield Park,26,24,17031261000,170312610002013.0,1148829.3509590852,1896476.4008109143,41.8718636117,-87.7290573726,"(41.8718636117, -87.7290573726)"
Walgreens #232,18449.0,147.0,,A,3405 S Dr Martin Luther King Jr Dr,60616,Douglas,35,4,17031351000,170314000000000.0,1179511.815,1882412.902,41.8326245,-87.6168411,"(41.8326245, -87.6168411)"
Fairway Food,2031993.0,352796.0,3000.0,B,2900 E 79Th St,60649,South Shore,43,7,17031431301,170314313011010.0,1196899.785259481,1853184.8169503284,41.7520053919,-87.5540154169,"(41.7520053919, -87.5540154169)"
Fresh Market Place,1382145.0,266140.0,20000.0,A,2600 N Central Ave,60639,Belmont Cragin,19,30,17031190602,170311906022018.0,1138560.7434555728,1916734.9356128592,41.9276476796,-87.7662665211,"(41.9276476796, -87.7662665211)"
The Fish Keg Inc,4908.0,3299.0,4000.0,B,2233 W Howard St,60645,West Ridge,2,49,17031020100,170310201002001.0,1160144.8366672578,1950322.6250022345,42.0193947424,-87.6860204976,"(42.0193947424, -87.6860204976)"
Nance Food Mart,4756.0,3277.0,4500.0,B,10935 S Wentworth Ave,60628,Roseland,49,34,17031491000,170314910002007.0,1176930.5763119936,1832294.683255661,41.6951531575,-87.6278202407,"(41.6951531575, -87.6278202407)"
Riviera Foods,39650.0,89265.0,3500.0,B,3218 N Harlem Ave,60634,Dunning,17,36,17031170800,170311708001011.0,1127474.9754439709,1920652.266665134,41.9385912816,-87.8069148007,"(41.9385912816, -87.8069148007)"
J K & S Food & Liquor,1000978.0,32337.0,3024.0,B,503 W 59Th St,60621,Englewood,68,20,17031834600,170318346002004.0,1173930.930611391,1865754.8378243763,41.7870390747,-87.6378127282,"(41.7870390747, -87.6378127282)"
K & K Food & Liquor,62092.0,23937.0,4200.0,B,1130 W 51St St,60609,New City,61,16,17031611000,170316110001031.0,1169532.159988125,1871017.4682229415,41.8015768439,-87.6537884728,"(41.8015768439, -87.6537884728)"
William'S Produce,2079521.0,359604.0,6375.0,B,6309 W Grand Ave,60639,Belmont Cragin,19,29,17031191301,170311913013002.0,1133912.4701892291,1914608.0093288645,41.9218942299,-87.78339752,"(41.9218942299, -87.78339752)"
Chatham Food Market,1904290.0,331037.0,4500.0,B,327 E 79Th St,60619,Chatham,44,6,17031440300,170314403002001.0,1179727.9186004675,1852659.2157454104,41.7509726753,-87.6169578802,"(41.7509726753, -87.6169578802)"
Jewel Food Store #3442,1406.0,259.0,29060.0,A,4042 W Foster Ave,60630,North Park,13,39,17031130200,170311302001019.0,1148348.854339515,1934285.340512456,41.9756241124,-87.7298445616,"(41.9756241124, -87.7298445616)"
Cupboard Food & Liquor,7110.0,3758.0,3000.0,B,3260 W 55Th St,60632,Gage Park,63,14,17031630300,170316303002035.0,1155332.318884824,1867998.7006957629,41.7935891795,-87.7059457835,"(41.7935891795, -87.7059457835)"
Paulina Market,1680919.0,301699.0,10000.0,A,3501 N Lincoln Ave,60657,Lake View,6,32,17031831900,,1164057.2158518278,1923333.7106447169,41.9452541584,-87.6723897932,"(41.9452541584, -87.6723897932)"
Carniceria Guanjuato #3,17340.0,63206.0,8800.0,B,1436 N Ashland Ave,60622,West Town,24,1,17031241500,170312415002000.0,1165420.7459043048,1909810.0076175025,41.9081153739,-87.6677638335,"(41.9081153739, -87.6677638335)"
Pete'S Fresh Market,1598145.0,292834.0,50000.0,A,3448 E 118Th St,60617,Hegewisch,55,10,17031550100,170315501005014.0,1201135.133266178,1827369.4192390712,41.6810595555,-87.5393675414,"(41.6810595555, -87.5393675414)"
Whole Foods Market,1678035.0,86298.0,6335.0,B,6020 N Cicero Ave,60646,Forest Glen,12,39,17031120200,170311202004001.0,1143245.243909306,1939669.1376559047,41.9904947718,-87.7484774142,"(41.9904947718, -87.7484774142)"
E.M. Groceries,4863.0,3289.0,4500.0,B,5358 S Carpenter St,60609,New City,61,16,17031612000,170316120002009.0,1170189.6270939496,1869037.3793131495,41.7961289732,-87.6514349028,"(41.7961289732, -87.6514349028)"
Save-A-Lot #860,1196076.0,216203.0,12500.0,A,4439 W 63Rd St,60629,West Lawn,65,13,17031650301,170316503011004.0,1147705.0187589796,1862415.0080575915,41.7784159744,-87.7340575715,"(41.7784159744, -87.7340575715)"
"Latin Grocery & Liquor, Inc",20046.0,8064.0,10001.0,A,3800 W North Ave,60647,Humboldt Park,23,30,17031230400,170312304002014.0,1150799.8597747867,1910405.9395063643,41.9100494194,-87.7214580839,"(41.9100494194, -87.7214580839)"
Athens Grocery,971.0,185.0,2600.0,B,324 S Halsted St,60661,Near West Side,28,27,17031833100,170318331001028.0,1171063.7903605013,1898574.3962069645,41.8771621281,-87.6473642897,"(41.8771621281, -87.6473642897)"
Jewel Food Store #3092,1411.0,259.0,10001.0,A,1655 E 95Th St,60617,South Deering,51,7,17031510300,170315103003000.0,1189107.7842074255,1842276.926905724,41.7222631981,-87.5829176346,"(41.7222631981, -87.5829176346)"
M & J Liquor & Grocery,15168.0,6639.0,2900.0,B,3654 W Lawrence Ave,60625,Albany Park,14,39,17031140301,170311403011010.0,1150913.714836236,1931683.52010555,41.9684345799,-87.7204810114,"(41.9684345799, -87.7204810114)"
Thrifty Food,1045545.0,28478.0,4000.0,B,928 W Wilson Ave,60640,Uptown,3,46,17031031501,170310315013003.0,1169121.3240440846,1930772.46231734,41.9655577007,-87.653559279,"(41.9655577007, -87.653559279)"
Dominick'S # 1100,41629.0,5033.0,10001.0,A,3145 S Ashland Ave,60608,Mckinley Park,59,11,17031840400,170318404001032.0,1166221.8718805332,1883706.5913302056,41.8364683477,-87.6655669021,"(41.8364683477, -87.6655669021)"
Save-A-Lot # 854,1245433.0,216203.0,15000.0,A,7908 S Halsted St,60620,Auburn Gresham,71,17,17031710800,170317108001009.0,1172300.9972507434,1852361.5784177724,41.7503223874,-87.6441824061,"(41.7503223874, -87.6441824061)"
"Carniceria La Gloria No. 2, Inc.",1514813.0,279304.0,7500.0,B,2744 W 55Th St,60632,Gage Park,63,14,17031630500,170316305003017.0,1158820.849155428,1868105.5547353695,41.7938118263,-87.6931506024,"(41.7938118263, -87.6931506024)"
Dominick'S # 113/1113,41633.0,5033.0,10001.0,A,6312 N Nagle Ave,60646,Norwood Park,10,41,17031100200,170311002002001.0,1132586.7487749453,1941599.6411018071,41.9959852861,-87.7876371171,"(41.9959852861, -87.7876371171)"
Strack & Van Til,1798602.0,308026.0,65400.0,A,2627 N Elston Ave,60647,Logan Square,22,1,17031830900,170318309001006.0,1161027.1481183649,1917565.451325267,41.929489274,-87.6836878249,"(41.929489274, -87.6836878249)"
Corcorans Pantry Inc,9412.0,4333.0,4200.0,B,1105 W Bryn Mawr Ave,60660,Edgewater,77,48,17031030701,170310307011003.0,1167789.171372333,1937316.920251187,41.9835447852,-87.6582676725,"(41.9835447852, -87.6582676725)"
Jewel Food Store #3477,1372.0,259.0,17676.0,A,4734 N Cumberland Ave,60656,Ohare,76,36,17031760802,170317608021009.0,1119277.5910081204,1930595.6588696016,41.9660114013,-87.8368311691,"(41.9660114013, -87.8368311691)"
Supermercado El Guero No. 8,20973.0,8662.0,14000.0,A,2101 W Cermak Rd,60608,Lower West Side,31,25,17031841300,170318413001000.0,1162678.1623507629,1889348.682684014,41.8520256918,-87.6784122433,"(41.8520256918, -87.6784122433)"
3600 Commissary,24279.0,9830.0,3800.0,B,3600 N Lake Shore Dr,60613,Lake View,6,46,17031060900,170310609004001.0,1171865.8187503873,1924645.0382131825,41.9486836744,-87.6436497585,"(41.9486836744, -87.6436497585)"
La Cienega Super Food Inc,65173.0,20310.0,10000.0,A,10736 S Ewing Ave,60617,East Side,52,10,17031520300,170315203003000.0,1202148.2918444525,1834213.571786199,41.6998148465,-87.5354268905,"(41.6998148465, -87.5354268905)"
"Morelia Supermarket #2, Inc.",1648410.0,298039.0,12000.0,A,4833 W Diversey Ave,60639,Belmont Cragin,19,31,17031190800,170311908001001.0,1143539.264268055,1918138.099004257,41.931406291,-87.7479369735,"(41.931406291, -87.7479369735)"
Burnham Plaza Mart,2014232.0,350131.0,2950.0,B,828 S Wabash Ave,60605,Loop,32,2,17031320600,170313206002012.0,1176878.787434362,1896537.8458802076,41.8714441963,-87.6260751303,"(41.8714441963, -87.6260751303)"
